               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10716,            0.021236,                   0,            0.010711,             0.11667,           0.0051068,           0.0011014,            0.085805,            0.014846,                   0,             0.00051,             0.00051,             0.09541
                   1,            0.086697,            0.014826,                   0,            0.048597,             0.23333,            0.030315,           0.0064769,            0.076175,             0.01421,                   0,           0.0010298,           0.0010298,             0.09073
                   2,             0.07208,            0.014544,                   0,             0.17315,             0.38333,             0.11186,            0.030602,            0.062889,            0.013397,                   0,            0.001549,            0.001549,            0.086049
                   3,            0.063483,            0.015628,                   0,             0.40148,             0.23333,             0.19014,            0.058436,            0.060811,            0.013171,                   0,           0.0020671,           0.0020671,            0.081367
                   4,             0.06038,            0.013609,                   0,             0.41181,             0.26667,             0.26532,            0.077365,            0.057039,            0.011944,                   0,           0.0025836,           0.0025836,            0.076684
                   5,            0.058981,            0.012786,                   0,              0.4103,             0.31667,             0.26165,             0.11017,            0.061566,            0.011615,                   0,            0.003098,            0.003098,            0.071998
                   6,            0.055391,            0.012961,                   0,             0.46703,             0.48333,             0.43635,              0.1262,             0.05844,            0.011378,                   0,           0.0036099,           0.0036099,             0.06731
                   7,            0.051879,            0.012298,                   0,              0.4845,             0.53261,             0.45208,             0.14158,            0.055051,            0.010587,                   0,           0.0041187,           0.0041187,            0.062619
                   8,            0.051142,            0.011004,                   0,             0.42825,                 0.5,             0.39566,             0.11014,            0.067076,            0.010598,                   0,           0.0046241,           0.0046241,            0.057924
                   9,             0.05128,             0.01178,                   0,             0.45061,             0.53333,             0.42268,             0.11928,            0.052986,            0.010945,                   0,           0.0051255,           0.0051255,            0.053225
                  10,            0.050585,            0.010857,                   0,             0.39602,             0.66667,              0.4556,             0.13685,            0.055973,            0.010821,                   0,           0.0056224,           0.0056224,            0.048522
