               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10758,            0.021187,                   0,             0.14568,            0.033333,            0.013852,           0.0019989,            0.086902,            0.014777,                   0,             0.00051,             0.00051,             0.09541
                   1,            0.086084,             0.01483,                   0,            0.047024,                0.25,            0.030036,           0.0060348,            0.073478,            0.013821,                   0,           0.0010298,           0.0010298,             0.09073
                   2,            0.071468,            0.014529,                   0,             0.13955,             0.31667,            0.084134,            0.020822,            0.060369,            0.013776,                   0,            0.001549,            0.001549,            0.086049
                   3,            0.062985,            0.015471,                   0,             0.41935,             0.28333,             0.22296,            0.061171,            0.061791,            0.012602,                   0,           0.0020671,           0.0020671,            0.081367
                   4,            0.060019,            0.013385,                   0,             0.42654,             0.53307,             0.36944,             0.11495,            0.055603,            0.011972,                   0,           0.0025836,           0.0025836,            0.076684
                   5,             0.05976,            0.012627,                   0,             0.40753,                0.45,               0.398,             0.11315,            0.050375,             0.01244,                   0,            0.003098,            0.003098,            0.071998
                   6,            0.056446,            0.012874,                   0,             0.39894,             0.51667,             0.44081,             0.14594,            0.059185,              0.0114,                   0,           0.0036099,           0.0036099,             0.06731
                   7,               0.053,             0.01244,                   0,             0.23227,             0.38333,             0.29735,             0.10445,             0.05393,             0.01075,                   0,           0.0041187,           0.0041187,            0.062619
                   8,            0.050554,            0.011123,                   0,             0.41506,             0.46667,             0.38647,             0.11192,            0.064113,            0.010449,                   0,           0.0046241,           0.0046241,            0.057924
                   9,            0.051298,            0.011624,                   0,             0.46208,             0.51543,             0.46902,             0.15582,            0.054438,            0.010905,                   0,           0.0051255,           0.0051255,            0.053225
                  10,             0.05064,             0.01105,                   0,             0.31497,             0.38333,              0.3206,             0.13377,            0.052669,            0.011263,                   0,           0.0056224,           0.0056224,            0.048522
                  11,            0.050599,            0.011192,                   0,             0.42897,                 0.7,             0.48912,             0.14341,            0.047709,            0.010802,                   0,           0.0061146,           0.0061146,            0.043815
                  12,            0.049613,            0.010737,                   0,              0.4039,             0.31621,             0.32072,             0.10592,            0.055528,            0.010533,                   0,           0.0066013,           0.0066013,            0.039101
                  13,            0.052132,            0.011008,                   0,             0.41633,                 0.5,             0.40904,             0.13376,            0.044728,            0.011413,                   0,           0.0070824,           0.0070824,            0.034382
                  14,            0.050055,             0.01073,                   0,             0.46468,                0.45,             0.43082,             0.13888,            0.053763,            0.010834,                   0,           0.0075572,           0.0075572,            0.029657
                  15,            0.051291,            0.011002,                   0,             0.45766,                0.55,             0.43317,             0.15501,             0.05124,            0.010196,                   0,           0.0080253,           0.0080253,            0.024925
                  16,            0.048989,            0.010773,                   0,             0.37169,                 0.5,             0.37782,             0.12717,            0.048889,            0.010507,                   0,           0.0084865,           0.0084865,            0.020186
                  17,            0.049893,             0.01052,                   0,             0.51633,             0.21667,             0.24169,            0.089398,            0.055882,            0.011091,                   0,           0.0089401,           0.0089401,             0.01544
                  18,            0.050497,            0.010545,                   0,             0.53023,             0.28221,             0.28051,            0.067589,            0.062038,            0.010718,                   0,           0.0093859,           0.0093859,            0.010686
                  19,            0.049599,            0.010678,                   0,              0.4098,             0.41661,             0.26932,             0.07502,            0.065948,            0.010974,                   0,           0.0094547,           0.0094547,           0.0094547
                  20,            0.049562,            0.010867,                   0,             0.43612,                0.35,             0.28563,               0.109,            0.064457,            0.010563,                   0,           0.0094547,           0.0094547,           0.0094547
                  21,              0.0498,            0.010951,                   0,             0.47555,             0.33333,             0.30387,             0.09785,            0.053645,            0.011626,                   0,           0.0093971,           0.0093971,           0.0093971
                  22,            0.047039,            0.010513,                   0,             0.66649,             0.36639,             0.43851,             0.13369,            0.055762,            0.010643,                   0,           0.0093369,           0.0093369,           0.0093369
                  23,            0.048593,             0.01069,                   0,             0.49233,                0.45,             0.43092,             0.13614,            0.054262,            0.010679,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.049161,            0.010114,                   0,             0.35733,             0.53333,             0.33929,            0.084491,            0.057641,            0.010485,                   0,           0.0092086,           0.0092086,           0.0092086
                  25,            0.048158,            0.010582,                   0,             0.39673,             0.51667,             0.39112,            0.090635,            0.049965,            0.010846,                   0,           0.0091406,           0.0091406,           0.0091406
                  26,            0.046905,            0.010237,                   0,             0.50746,             0.53232,             0.50626,             0.13757,            0.048409,            0.010789,                   0,           0.0090701,           0.0090701,           0.0090701
                  27,            0.046047,            0.010949,                   0,              0.4777,             0.56667,             0.50215,             0.16907,            0.050214,            0.010272,                   0,           0.0089972,           0.0089972,           0.0089972
                  28,            0.043738,            0.010464,                   0,             0.53505,             0.63293,             0.53468,             0.17612,            0.047499,            0.010343,                   0,           0.0089218,           0.0089218,           0.0089218
                  29,            0.044099,            0.010444,                   0,             0.55895,                0.55,             0.51691,             0.16786,            0.052678,            0.010519,                   0,           0.0088442,           0.0088442,           0.0088442
                  30,            0.043758,            0.010036,                   0,              0.6998,             0.58333,             0.61346,               0.239,            0.045679,            0.010292,                   0,           0.0087642,           0.0087642,           0.0087642
                  31,            0.044517,           0.0098444,                   0,             0.51615,             0.48333,             0.39923,             0.11739,            0.047285,            0.011478,                   0,            0.008682,            0.008682,            0.008682
                  32,            0.044904,            0.010148,                   0,             0.56422,             0.58265,             0.55969,             0.17779,            0.049275,             0.01054,                   0,           0.0085976,           0.0085976,           0.0085976
                  33,            0.044049,           0.0099852,                   0,             0.65753,             0.41602,             0.46363,             0.14027,            0.054903,            0.012037,                   0,           0.0085111,           0.0085111,           0.0085111
                  34,            0.043153,            0.010411,                   0,             0.57558,             0.63287,             0.59571,             0.19495,            0.048629,            0.010534,                   0,           0.0084225,           0.0084225,           0.0084225
                  35,            0.042638,           0.0099527,                   0,             0.49732,                 0.6,             0.46884,             0.16342,            0.049741,            0.010616,                   0,           0.0083319,           0.0083319,           0.0083319
                  36,            0.042475,            0.010048,                   0,             0.66581,             0.46667,             0.54983,             0.19081,            0.054181,            0.010756,                   0,           0.0082394,           0.0082394,           0.0082394
                  37,             0.04111,           0.0092408,                   0,             0.52472,                 0.8,             0.63367,             0.19358,             0.04574,            0.010254,                   0,            0.008145,            0.008145,            0.008145
                  38,            0.043928,           0.0097022,                   0,             0.69607,                0.65,             0.63507,             0.21184,            0.055479,            0.010008,                   0,           0.0080488,           0.0080488,           0.0080488
                  39,            0.041522,           0.0097504,                   0,             0.69181,                 0.6,             0.62659,             0.22089,             0.05098,            0.010103,                   0,           0.0079509,           0.0079509,           0.0079509
                  40,            0.041997,           0.0098694,                   0,             0.57473,             0.56667,             0.55682,             0.19578,            0.050873,           0.0098846,                   0,           0.0078512,           0.0078512,           0.0078512
                  41,            0.041292,           0.0092956,                   0,             0.63138,              0.5995,             0.62413,             0.20677,             0.05011,            0.010522,                   0,             0.00775,             0.00775,             0.00775
                  42,            0.042159,           0.0094163,                   0,             0.54491,             0.49892,             0.48165,             0.15999,            0.052013,            0.010811,                   0,           0.0076472,           0.0076472,           0.0076472
                  43,            0.040607,           0.0096094,                   0,             0.47718,             0.71667,             0.60959,             0.20777,            0.045239,            0.010533,                   0,            0.007543,            0.007543,            0.007543
                  44,            0.039905,           0.0096823,                   0,             0.74392,             0.53333,             0.66834,             0.23089,            0.044494,           0.0099075,                   0,           0.0074373,           0.0074373,           0.0074373
                  45,            0.040317,           0.0091407,                   0,             0.57513,             0.63333,             0.55868,             0.20597,            0.049568,            0.010345,                   0,           0.0073303,           0.0073303,           0.0073303
                  46,            0.038966,           0.0095971,                   0,             0.72389,                 0.7,             0.69381,             0.22844,             0.04648,            0.010076,                   0,           0.0072221,           0.0072221,           0.0072221
